,player1,player2,ace%,df%,1stIn%,1stWon%,2ndWon%,bpSaved%,label,surface_Clay,surface_Hard,tourney_level_A,tourney_level_G,tourney_level_M,best_of_3,best_of_5
83,John Millman,Michail Pervolarakis,0.12933080208827716,-0.01613668723303275,0.15116279069767447,0.1238728049359279,0.009492168960607478,0.30000000000000004,player1,0,1,1,0,0,1,0
84,Alex De Minaur,Denis Shapovalov,-0.047919876733436055,-0.04668721109399075,0.06224961479198765,0.04252696456086286,-0.023266563944530028,0.2321428571428571,player1,0,1,1,0,0,1,0
85,Felix Auger Aliassime,John Millman,0.07620320855614973,0.0034759358288770047,-0.002941176470588225,0.014171122994652396,-0.11925133689839573,-0.4603174603174603,player2,0,1,1,0,0,1,0
86,Corentin Moutet,Andrey Rublev,-0.05172413793103448,0.04838709677419355,0.015572858731924377,-0.16685205784204665,0.009454949944382646,0.0,player2,0,1,1,0,0,1,0
87,Corentin Moutet,Stan Wawrinka,-0.12903225806451613,-0.043010752688172046,0.10084277826213317,0.12423714036617262,-0.020633536762569016,-0.8181818181818182,player1,0,1,1,0,0,1,0
88,Andrey Rublev,Miomir Kecmanovic,0.23255813953488372,0.0032558139534883714,0.0046511627906976605,0.2781395348837209,0.03255813953488371,0.6666666666666667,player1,0,1,1,0,0,1,0
89,Stan Wawrinka,Aljaz Bedene,-0.056650246305418706,-0.02040816326530612,-0.010204081632653073,0.01653764954257564,0.07178043631245601,0.5,player1,0,1,1,0,0,1,0
90,Fernando Verdasco,Corentin Moutet,0.06691086691086691,0.000366300366300365,-0.014041514041514103,-0.04957264957264956,0.023687423687423687,-0.16666666666666663,player2,0,1,1,0,0,1,0
91,Marton Fucsovics,Miomir Kecmanovic,0.07371794871794872,0.041666666666666664,-0.10256410256410264,-0.2724358974358974,-0.09134615384615385,-0.25,player2,0,1,1,0,0,1,0
92,Andrey Rublev,Pierre Hugues Herbert,-0.07957957957957959,-0.026651651651651655,0.01501501501501501,0.02439939939939939,0.0731981981981982,0.33333333333333337,player1,0,1,1,0,0,1,0
93,Jeremy Chardy,Stan Wawrinka,-0.18109631147540983,0.03048155737704918,0.05122950819672134,-0.020747950819672123,-0.07402663934426229,-0.19047619047619047,player2,0,1,1,0,0,1,0
94,Alexander Bublik,Aljaz Bedene,0.07688828584350973,0.015829941203075536,0.09882406151062872,0.08186341022161919,-0.14676616915422888,-0.33333333333333337,player2,0,1,1,0,0,1,0
95,Corentin Moutet,Milos Raonic,-0.16492753623188405,-0.034057971014492754,0.192463768115942,0.08173913043478259,-0.09028985507246379,0.0,player1,0,1,1,0,0,1,0
96,Fernando Verdasco,Filip Krajinovic,0.17080921575303598,0.003404834865509021,-0.09351946430598113,0.03200544773578484,0.06639427987742594,-0.03947368421052633,player1,0,1,1,0,0,1,0
97,Marton Fucsovics,Cem Ilkel,0.03595317725752509,-0.06521739130434782,0.14130434782608692,0.2123745819397993,-0.06103678929765888,0.25,player1,0,1,1,0,0,1,0
98,Jo-Wilfried Tsonga,Miomir Kecmanovic,-0.11007357102433504,-0.04697226938313526,0.08885116015846062,-0.057159026598754936,-0.06932654216185627,-0.6666666666666667,player2,0,1,1,0,0,1,0
99,Laslo Djere,Pierre Hugues Herbert,-0.0425531914893617,0.02127659574468085,-0.021276595744680882,-0.17021276595744678,0.0,0.2857142857142857,player2,0,1,1,0,0,1,0
100,Andrey Rublev,Mikhail Kukushkin,0.050595238095238096,0.017857142857142856,0.044642857142857095,0.16666666666666669,-0.08928571428571427,-0.05555555555555558,player1,0,1,1,0,0,1,0
101,Jeremy Chardy,Gregoire Barrere,0.002434077079107505,0.023799864773495605,-0.10033806626098718,-0.03515889114266402,0.10912778904665316,0.1428571428571428,player1,0,1,1,0,0,1,0
102,Mikael Ymer,Aljaz Bedene,-0.06641952425084954,0.04819277108433735,0.10982391102873035,0.037071362372567196,-0.05236329935125114,0.06666666666666671,player2,0,1,1,0,0,1,0
103,Adrian Mannarino,Alexander Bublik,-0.14045698924731181,-0.05510752688172043,-0.07795698924731176,-0.14583333333333331,0.08870967741935484,-0.35,player2,0,1,1,0,0,1,0
104,Tennys Sandgren,Corentin Moutet,0.07101449275362319,-0.028985507246376812,-0.08322981366459625,-0.15279503105590064,0.02732919254658385,-0.33333333333333337,player2,0,1,1,0,0,1,0
105,Pablo Andujar,Fernando Verdasco,-0.064314789687924,0.014925373134328358,0.05020352781546811,-0.0827679782903663,-0.06567164179104479,-0.4,player2,0,1,1,0,0,1,0
106,Kyle Edmund,Filip Krajinovic,0.007373271889400922,0.002457757296466974,-0.03809523809523818,-0.05468509984639014,0.007680491551459306,-0.11538461538461542,player2,0,1,1,0,0,1,0
107,Marton Fucsovics,Frances Tiafoe,0.05292529252925292,0.017371737173717372,-0.055085508550855145,-0.006750675067506706,-0.00549054905490548,0.0636363636363636,player1,0,1,1,0,0,1,0
108,Cem Ilkel,Ricardas Berankis,0.08385093167701864,-0.024844720496894408,0.010351966873705987,0.03985507246376807,-0.005693581780538304,0.24444444444444446,player1,0,1,1,0,0,1,0
109,Jordan Thompson,Miomir Kecmanovic,0.06060606060606061,-0.002392344497607654,0.062200956937799035,-0.009569377990430616,-0.16188197767145135,-0.30000000000000004,player2,0,1,1,0,0,1,0
110,Laslo Djere,Lorenzo Sonego,0.0018264840182648373,-0.0126027397260274,0.030867579908675724,0.07872146118721457,0.05844748858447488,0.17142857142857137,player1,0,1,1,0,0,1,0
111,Marco Cecchinato,Pierre Hugues Herbert,-0.08374875373878365,-0.022266533732136922,-0.04586241276171488,-0.1708208707211698,-0.014955134596211367,0.5714285714285714,player2,0,1,1,0,0,1,0
112,Malek Jaziri,Mikhail Kukushkin,-0.06907308377896615,0.045454545454545456,-0.12433155080213909,-0.2268270944741533,-0.008021390374331555,-0.5555555555555556,player2,0,1,1,0,0,1,0
113,Lloyd Harris,Andrey Rublev,0.10441385856668249,0.002847650688182251,0.10014238253440921,-0.12339819648789746,-0.12577123872804938,-0.8,player2,0,1,1,0,0,1,0
114,Lloyd Harris,Tommy Paul,0.10606741573033707,0.003707865168539326,0.026741573033707944,0.1468539325842697,-0.0402247191011236,0.07142857142857145,player1,0,1,1,0,0,1,0
115,Andrey Rublev,Felix Auger Aliassime,-0.07024121984751908,0.02399700037495313,-0.01893513310836148,-0.027996500437445337,0.04911886014248218,0.09999999999999998,player1,0,1,1,0,0,1,0
116,Albert Ramos,Tommy Paul,-0.09838274932614555,-0.03975741239892183,-0.013477088948787075,-0.11556603773584906,-0.06974393530997303,-0.5,player2,0,1,1,0,0,1,0
117,Lloyd Harris,Pablo Carreno Busta,0.2787878787878788,0.034848484848484844,0.07727272727272727,0.21969696969696967,0.054545454545454564,0.33333333333333337,player1,0,1,1,0,0,1,0
118,Andrey Rublev,Daniel Evans,0.10035234242463788,0.015007177345687068,-0.028317891165339892,0.06629257470964373,0.03666971160120058,0.05555555555555558,player1,0,1,1,0,0,1,0
119,Alex Bolt,Felix Auger Aliassime,-0.21,0.04,-0.016249999999999987,-0.25375,-0.16125,-0.5555555555555556,player2,0,1,1,0,0,1,0
120,Jaume Munar,Albert Ramos,0.03340635268346112,0.051661190215407084,0.13417305585980288,0.008762322015334056,-0.05056589996349033,-0.1717171717171717,player2,0,1,1,0,0,1,0
121,Pablo Cuevas,Tommy Paul,-0.12244897959183673,0.06469821971341728,0.08727746417716031,-0.06686930091185406,-0.1376465479808945,-0.5714285714285714,player2,0,1,1,0,0,1,0
